,platform,benchmark,n,time_mili,std_mili
0,lexa,two_threads_ackermann,10000,195,2
1,lexa,two_threads_ackermann,15000,189,2
2,lexa,two_threads_ackermann,20000,181,1
3,lexa,two_threads_ackermann,25000,178,2
4,lexa,two_threads_ackermann,30000,178,1
5,lexa,two_threads_ackermann,35000,175,1
6,lexa,two_threads_ackermann,40000,173,1
7,lexa,two_threads_ackermann,45000,173,1
8,lexa,two_threads_ackermann,50000,172,0
9,lexa,two_threads_ackermann,55000,171,1
10,lexa,two_threads_ackermann,60000,171,0
11,lexa,two_threads_ackermann,65000,169,1
12,lexa,two_threads_ackermann,70000,171,1
13,lexa,two_threads_ackermann,75000,168,1
14,lexaz,two_threads_ackermann,10000,219,2
15,lexaz,two_threads_ackermann,15000,201,4
16,lexaz,two_threads_ackermann,20000,190,4
17,lexaz,two_threads_ackermann,25000,181,1
18,lexaz,two_threads_ackermann,30000,180,5
19,lexaz,two_threads_ackermann,35000,174,1
20,lexaz,two_threads_ackermann,40000,174,5
21,lexaz,two_threads_ackermann,45000,168,1
22,lexaz,two_threads_ackermann,50000,168,0
23,lexaz,two_threads_ackermann,55000,167,2
24,lexaz,two_threads_ackermann,60000,168,4
25,lexaz,two_threads_ackermann,65000,164,2
26,lexaz,two_threads_ackermann,70000,164,0
27,lexaz,two_threads_ackermann,75000,163,2
